Date,Listeners
10/20/2018,10575647
10/24/2018,10986651
10/27/2018,11209520
10/31/2018,11488186
11/3/2018,11810538
11/7/2018,12441565
11/10/2018,12865722
11/14/2018,13785415
11/17/2018,14538505
11/21/2018,16228228
11/24/2018,18121486
11/28/2018,20265477
12/1/2018,22000203
12/5/2018,26268832
12/8/2018,29268174
12/12/2018,31984197
12/15/2018,33560584
12/19/2018,35947894
12/22/2018,36792776
12/26/2018,42896510
12/29/2018,45189364
1/2/2019,43445181
1/6/2019,41513161
1/9/2019,39395632
1/13/2019,36971720
1/16/2019,34233767
1/20/2019,29851238
1/23/2019,20219853
1/27/2019,12238550
1/30/2019,11169173
2/3/2019,10741944
2/6/2019,10548617
2/10/2019,10419399
2/13/2019,10341207
2/17/2019,10391132
2/20/2019,10347898
2/24/2019,10273220
2/27/2019,10192675
2/3/2019,10130574
3/6/2019,10093367
3/10/2019,10107853
3/13/2019,10101563
3/17/2019,9986404
3/20/2019,9999892
3/24/2019,10063410
3/28/2019,10097183
3/31/2019,10172494
4/4/2019,10204979
4/7/2019,10215246
4/11/2019,10211018
4/14/2019,10197366
4/18/2019,10150551
4/21/2019,10135478
4/25/2019,10130232
4/28/2019,10092775
5/2/2019,10070289
5/5/2019,10077760
5/9/2019,10070900
5/12/2019,10080038
5/16/2019,10074883
5/19/2019,10064697
5/23/2019,10054190
5/26/2019,10095145
5/30/2019,10195267
6/2/2019,10243811
6/6/2019,10349975
6/10/2019,10414196
6/13/2019,10476585
6/17/2019,10534211
6/20/2019,10533056
6/24/2019,10610273
6/27/2019,10604404
7/1/2019,10615072
7/4/2019,10619774
7/8/2019,10648358
7/11/2019,10665127
7/15/2019,10749710
7/18/2019,10859722
7/22/2019,11011586
7/25/2019,11123745
7/29/2019,11288793
8/1/2019,11433287
8/5/2019,11621774
8/8/2019,11734541
8/12/2019,11873667
8/15/2019,11926764
8/19/2019,12005646
8/23/2019,12048436
8/26/2019,12054908
8/30/2019,12054908
8/30/2019,12080788
9/2/2019,12088797
9/6/2019,12170871
9/9/2019,12158615
9/13/2019,12196154
9/16/2019,12273703
9/20/2019,12363811
9/23/2019,12546879
9/27/2019,12610003
9/30/2019,12815014
10/4/2019,12905218
10/7/2019,13060617
10/11/2019,13163833
10/14/2019,13225945
10/18/2019,13336728
10/21/2019,13350719
10/25/2019,13432999
10/28/2019,13545556
11/1/2019,13765124
11/5/2019,14518128
11/8/2019,15085833
11/12/2019,16110280
11/15/2019,16911697
11/19/2019,18192872
11/22/2019,19086679
11/26/2019,21577275
11/29/2019,22571427
12/3/2019,26415394
12/6/2019,28740387
12/10/2019,32539232
12/13/2019,34223362
12/17/2019,37309045
12/20/2019,39091085
12/24/2019,42683023
12/27/2019,49573764
12/31/2019,48759548
1/3/2020,47776326
1/7/2020,45231068
1/10/2020,43689221
1/14/2020,40414013
1/17/2020,37947387
1/21/2020,31949880
1/25/2020,16038962
1/28/2020,14559606
2/1/2020,13387555
2/4/2020,13155539
2/8/2020,12950699
2/11/2020,12903301
2/15/2020,13023876
2/18/2020,13088302
2/22/2020,13056413
2/25/2020,13056413
2/25/2020,13049041
2/29/2020,13002685
3/3/2020,12936915
3/7/2020,12922718
3/10/2020,12908456
3/14/2020,12816466
3/17/2020,12550519
3/21/2020,12441793
3/24/2020,12369893
3/28/2020,12345444
3/31/2020,12356817
4/4/2020,12340347
4/8/2020,12272686
4/11/2020,12219595
4/15/2020,12239738
4/18/2020,12252640
4/22/2020,12292855
4/25/2020,12294281
4/29/2020,12296891
5/2/2020,12292149
5/6/2020,12305010
5/9/2020,12282404
5/13/2020,12285071
5/16/2020,12282582
5/20/2020,12332148
5/23/2020,12376368
5/27/2020,12413595
5/30/2020,12408296
6/3/2020,12406525
6/6/2020,12359571
6/10/2020,12410225
6/13/2020,12481355
6/17/2020,12501539
6/21/2020,12552481
6/24/2020,12572444
6/28/2020,12628240
7/1/2020,12697805
7/5/2020,12782614
7/8/2020,12804760
7/12/2020,12753456
7/15/2020,12714011
7/19/2020,12695761
7/22/2020,12702664
7/26/2020,12737413
7/29/2020,12778436
8/2/2020,12813548
8/5/2020,12872400
8/9/2020,12941188
8/12/2020,12999995
8/16/2020,13039004
8/19/2020,13039673
8/23/2020,13163989
8/26/2020,13306047
9/2/2020,13559758
9/6/2020,13727188
9/10/2020,13868479
9/13/2020,13977467
9/17/2020,14084897
9/20/2020,14106453
9/24/2020,14110825
9/27/2020,14147497
10/1/2020,14259912
10/4/2020,14450993
10/8/2020,14722854
10/11/2020,14924108
10/15/2020,15267674
10/18/2020,15443484
10/22/2020,15673186
10/25/2020,15833751
10/29/2020,16088583
11/1/2020,16299406
11/5/2020,17165182
11/8/2020,17689913
11/12/2020,18399568
11/15/2020,19213773
11/19/2020,20990340
11/23/2020,23181931
11/26/2020,25143542
11/30/2020,29112518
12/3/2020,32587086
12/7/2020,37457780
12/10/2020,41551314
12/14/2020,44250638
12/17/2020,46356411
12/21/2020,49469653
12/24/2020,51847642
12/28/2020,60825757
12/31/2020,59802564
1/4/2021,57667136
1/7/2021,55229396
1/11/2021,51025629
1/14/2021,48615142
1/18/2021,44737319
1/21/2021,39897098
1/25/2021,18447733
1/28/2021,16390122
2/1/2021,14697441
2/5/2021,14359540
2/8/2021,14317112
2/12/2021,14283493
2/15/2021,14367402
2/19/2021,14589830
2/22/2021,14591268
2/26/2021,14612216
3/1/2021,14691552
3/5/2021,14751379
3/8/2021,14771234
3/12/2021,14778774
3/15/2021,14725286
3/22/2021,14496032
3/26/2021,14442595
3/29/2021,14361557
4/2/2021,14329596
4/5/2021,14324773
4/9/2021,14352791
4/12/2021,14365491
4/16/2021,14389552
4/20/2021,14413993
4/23/2021,14441702
4/27/2021,14456394
4/30/2021,14452877
5/4/2021,14435139
5/7/2021,14433974
5/11/2021,14443789
5/14/2021,14466860
5/18/2021,14543899
5/21/2021,14590981
5/25/2021,14642724
5/28/2021,14706294
6/1/2021,14788420
6/4/2021,14840636
6/8/2021,14900133
6/11/2021,14952176
6/15/2021,15006147
6/18/2021,15007605
6/22/2021,14997861
6/25/2021,15031561
6/29/2021,15025177
7/2/2021,14989853
7/6/2021,14974214
7/10/2021,14967647
7/13/2021,14911677
7/17/2021,14921571
7/20/2021,14931641
7/24/2021,14921455
7/27/2021,14912429
7/31/2021,14933144
8/3/2021,14936546
8/7/2021,14967280
8/10/2021,14982057
8/14/2021,15039318
8/17/2021,15101919
8/21/2021,15187384
8/24/2021,15313856
8/28/2021,15462421
8/31/2021,15584660
9/4/2021,15697599
9/7/2021,15775047
9/11/2021,15817117
9/14/2021,15861576
9/18/2021,15937451
9/22/2021,15947209
9/25/2021,15979242
9/29/2021,16063463
10/2/2021,16161937
10/6/2021,16303422
10/9/2021,16511001
10/13/2021,16659014
10/16/2021,16782263
10/20/2021,16995780
10/23/2021,17133261
10/27/2021,17333000
10/30/2021,17476646
11/3/2021,18324923
11/6/2021,18855938
11/10/2021,20080888
11/13/2021,21300859
11/17/2021,22533856
11/20/2021,23550000
11/24/2021,25871231
11/27/2021,27821335
12/1/2021,32571776
12/5/2021,36110864
12/8/2021,40007126
12/12/2021,43517303
12/15/2021,46578073
12/19/2021,50628994
12/22/2021,52330464
12/26/2021,60170259
12/29/2021,63315723
1/2/2022,61389662
1/5/2022,59956931
1/9/2022,55930116
1/12/2022,54059401
1/16/2022,50253858
1/19/2022,45813462
1/23/2022,30774752
1/26/2022,18412536
1/30/2022,16388562
2/2/2022,16388562
2/6/2022,15789887
2/9/2022,15708465
2/13/2022,15796762
2/16/2022,15975537
2/20/2022,16141167
2/24/2022,16217782
2/27/2022,16198651
3/3/2022,16216782
3/6/2022,16275008
3/10/2022,16328526
3/13/2022,16232254
3/17/2022,16030023
3/20/2022,15986472
3/24/2022,15960176
3/27/2022,16066950
3/31/2022,16258555
4/3/2022,16682512
4/7/2022,17112924
4/10/2022,17469519
4/14/2022,17846221
4/17/2022,18249727
4/21/2022,18478722
4/24/2022,18658646
4/28/2022,18776598
5/1/2022,18699521
5/5/2022,18680683
5/9/2022,18696191
5/12/2022,18696191
5/16/2022,18783690
5/19/2022,18783690
5/23/2022,18849435
5/26/2022,18849435
5/30/2022,18968314
6/2/2022,18944194
6/6/2022,18935072
6/9/2022,18914288
6/13/2022,18869998
6/16/2022,18854928
6/20/2022,18849399
6/23/2022,18823236
6/27/2022,18795774
6/30/2022,18750768
7/4/2022,18739280
7/7/2022,18768638
7/11/2022,18725285
7/14/2022,18702274
7/18/2022,18701167
7/22/2022,18763231
7/25/2022,18767249
7/29/2022,18783059
8/1/2022,18766556
8/5/2022,18733802
8/8/2022,18746066
8/12/2022,18777249
8/15/2022,18770282
8/19/2022,18767662
8/22/2022,18749937
8/26/2022,18738243
8/29/2022,18773242
9/2/2022,18816455
9/5/2022,18947115
9/9/2022,18990630
9/12/2022,18978771
9/16/2022,18986162
9/19/2022,19121017
9/23/2022,19275802
9/26/2022,19363057
9/30/2022,19445977
10/3/2022,19493201
10/7/2022,19583937
10/11/2022,19784119
10/14/2022,19937254
10/18/2022,20102252
10/21/2022,20201489
10/25/2022,20319521
10/28/2022,20446861
11/1/2022,20627484
11/4/2022,21479468
11/8/2022,22768955
11/11/2022,23928213
11/15/2022,25371975
11/18/2022,26824879
11/22/2022,29954246
11/25/2022,32004869
29-Nov,36828787
12/2/2022,39237594
12/6/2022,44975306
12/9/2022,47933527
12/13/2022,53003716
12/16/2022,55372272
12/20/2022,59432911
12/31/2022,73974251
1/3/2023,72311642
1/7/2023,69694494
1/10/2023,66505810
1/14/2023,62857985
1/17/2023,58219234
1/21/2023,51089006
1/24/2023,28460744
1/28/2023,23332781
1/31/2023,21591143
2/4/2023,21215903
2/7/2023,21106039
